"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"25","Micropogonias","MT",0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,0.325689235,0.227672353,0.617218269,423.0465276,223.2301066,605.1753686,1,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,109036.532175,59345.85033,200333.557875
"26","Micropogonias","MT_20",0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,0.322031482,0.224900315,0.604443866,513.421977,273.5374602,735.1614422,1,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,132477.2184,71166.18366,246608.88765
"27","Micropogonias","MT_40",0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,0.323916451,0.229392552,0.622699181,595.5065861,309.7713726,840.8920779,1,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,151674.20865,83627.77965,275088.8004
"28","Micropogonias","MT_60",0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,0.324776468,0.227179873,0.618535307,678.7767649,356.4076579,970.379623,1,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,0.282762719,0.203742736,0.392429969,750,750,750,1,0,0,0,175293.1908,95641.192125,321281.051175
"29","Mugil","MT",0.565525439,0.407485471,0.784859938,2812.149899,1426.383789,5544.221069,0.306123069,0.203937179,3.842854152,741.7735637,59.08993447,1113.450727,0.534863273,397.5855763,199.8043739,791.1452957,1406.074949,713.1918943,2772.110534,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,298189.182225,119882.62434,791145.2957
"30","Mugil","MT_20",0.565525439,0.407485471,0.784859938,3405.630433,1729.753344,6705.186429,0.301489879,0.202653563,3.632938755,903.8074537,75.00506295,1344.604043,0.534863273,481.4926611,242.6151738,955.5675316,1702.815216,864.8766718,3352.593214,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,361119.495825,145569.10428,955567.5316
"31","Mugil","MT_40",0.565525439,0.407485471,0.784859938,3993.37497,2000.593984,7971.154456,0.299041982,0.201695213,3.562366622,1063.073479,89.23943931,1576.15838,0.534863273,564.588783,276.9259519,1151.067611,1996.687485,1000.296992,3985.577228,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,423441.58725,166155.57114,1151067.611
"32","Mugil","MT_60",0.565525439,0.407485471,0.784859938,4513.869064,2279.740483,8937.426906,0.296915013,0.203888801,3.571729792,1223.644423,101.7205727,1781.943873,0.534863273,638.1769457,318.0291977,1280.605105,2256.934532,1139.870241,4468.713453,0.282762719,0.203742736,0.392429969,600,1000,750,1,0,0,0,478632.709275,190817.51862,1280605.105
"33","Octopus","MT",0.565525439,0.407485471,0.784859938,4826.443309,2907.033384,8013.170794,0.21532076,0.16868877,0.469930006,2253.313796,1032.462778,2876.215408,0.110782429,682.3691174,480.2401908,969.5723541,2413.221654,1453.516692,4006.585397,0.282762719,0.203742736,0.392429969,5000,6000,5500,1,0,0,0,3753030.1457,2401200.954,5817434.1246
"34","Octopus","MT_20",0.565525439,0.407485471,0.784859938,5808.195571,3517.203789,9591.464643,0.212913155,0.168150965,0.468926344,2734.552906,1241.607121,3462.497451,0.110782429,821.1705871,584.0448082,1154.570888,2904.097785,1758.601895,4795.732321,0.282762719,0.203742736,0.392429969,5000,6000,5500,1,0,0,0,4516438.22905,2920224.041,6927425.328
"35","Octopus","MT_40",0.565525439,0.407485471,0.784859938,6864.308952,4131.557841,11404.59343,0.203353358,0.165895032,0.459414458,3340.290734,1478.532782,4094.512825,0.110782429,970.4853328,682.0697011,1380.858554,3432.154476,2065.77892,5702.296713,0.282762719,0.203742736,0.392429969,5000,6000,5500,1,0,0,0,5337669.3304,3410348.5055,8285151.324
"36","Octopus","MT_60",0.565525439,0.407485471,0.784859938,7666.386094,4609.175447,12751.4078,0.215208753,0.169808909,0.475495207,3607.178492,1632.606117,4571.588091,0.110782429,1083.88409,760.1041021,1545.583976,3833.193047,2304.587724,6375.703899,0.282762719,0.203742736,0.392429969,5000,6000,5500,1,0,0,0,5961362.495,3800520.5105,9273503.856
"37","Panulirus","MT",0.282239296,0.163449697,0.487361077,385.8267414,131.7400215,1129.970017,0.099943247,0.065666128,0.17799953,144.2818838,81.0114497,219.5957101,0.062245553,27.22386698,9.665960032,76.67514982,192.9133707,65.87001077,564.9850087,0.141119648,0.081724848,0.243680538,10000,10000,10000,1,0,0,0,272238.6698,96659.60032,766751.4982
"38","Panulirus","MT_20",0.282239296,0.163449697,0.487361077,471.8161986,160.6547238,1385.645687,0.097302768,0.063924533,0.174561242,177.8366672,99.12853416,270.6941943,0.062245553,33.29126795,11.7561252,94.27498453,235.9080993,80.32736192,692.8228437,0.141119648,0.081724848,0.243680538,10000,10000,10000,1,0,0,0,332912.6795,117561.252,942749.8453
"39","Panulirus","MT_40",0.282239296,0.163449697,0.487361077,551.3782875,186.4820467,1630.280347,0.097830965,0.064129894,0.175316562,206.3559324,115.1516994,314.7985877,0.062245553,38.90515494,13.55787968,111.6406928,275.6891437,93.24102336,815.1401737,0.141119648,0.081724848,0.243680538,10000,10000,10000,1,0,0,0,389051.5494,135578.7968,1116406.928
"40","Panulirus","MT_60",0.282239296,0.163449697,0.487361077,614.0478231,207.0978458,1820.659832,0.101275023,0.066577939,0.177871428,227.8153023,129.7116701,346.5412149,0.062245553,43.32710635,15.01636816,125.0127943,307.0239115,103.5489229,910.3299159,0.141119648,0.081724848,0.243680538,10000,10000,10000,1,0,0,0,433271.0635,150163.6816,1250127.943
"41","Scomberomorus","MT",0.565525439,0.407485471,0.784859938,29056.19433,14296.49086,59053.82219,0.367463565,0.199721856,5.019705204,6346.022352,464.5555675,11675.89791,1,4108.004262,1944.997859,8676.461483,14528.09717,7148.245429,29526.91109,0.241785709,0.174217032,0.335560354,1000,1250,1125,1,0,0,0,4621504.79475,1944997.859,10845576.85375
