"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"641","Atrina","MT",2019,18870.5427821014,8855.74874822508,60917.601369118,350.300797964878,189.58619937303,708.086370632767,"MPA 2015",0.0197811511605893
"642","Atrina","MT",2020,19728.830361117,8673.1926757518,70028.0303007605,349.590471861581,182.54446706146,773.288101129917,"MPA 2015",0.0187524858640761
"643","Atrina","MT",2021,20447.8663993961,8497.31097186876,77172.0312966575,347.142498341116,175.863823301075,813.768604450327,"MPA 2015",0.0178662276304997
"644","Atrina","MT",2022,21038.7945330078,8327.76587439595,82176.8410228252,343.283980235306,169.519280160855,827.28294189012,"MPA 2015",0.017095466450375
"645","Atrina","MT",2023,21517.1656018792,8164.24224437993,85381.4214373976,338.357825439665,163.488131532103,817.841863843409,"MPA 2015",0.0164187389543293
"646","Atrina","MT",2024,21900.1707231209,8006.44556473098,87314.5669813436,332.680917822799,157.749696598082,792.836073006365,"MPA 2015",0.0158189098622602
"647","Atrina","MT",2025,22204.6388385972,7854.10015878227,88447.5665883,326.52170524024,152.285096434308,759.499769886177,"MPA 2015",0.0152822838482006
"648","Atrina","MT",2026,22445.8299515531,7706.94760086046,89110.9594955546,320.093137055367,147.077059021329,723.047217884134,"MPA 2015",0.0147979003463445
"649","Atrina","MT",2027,22636.8755395439,7564.74529487268,89508.8625514295,313.555367658448,142.109748677741,686.543150437883,"MPA 2015",0.0143569735916388
"650","Atrina","MT",2028,22788.6625532354,7427.2652002359,89758.9232582672,307.023337656674,137.368616527865,651.508253456377,"MPA 2015",0.0139524479526439
"651","Atrina","MT",2029,22909.9770193491,7294.29268729813,89926.5533401764,300.575860548002,132.840269126558,618.551352374682,"MPA 2015",0.0135786447850982
"652","Atrina","MT",2030,23007.7714494526,7165.62550680602,90047.520574611,294.264296474943,128.512352790193,587.80676674117,"MPA 2015",0.0132309819368637
"653","Atrina","MT",2031,23087.4692018886,7041.07286002716,90141.296378766,288.119946790077,124.373451541705,559.188392809678,"MPA 2015",0.012905750927651
"654","Atrina","MT",2032,23153.2571860284,6920.45455789231,90218.5292925682,282.15993842664,120.412996880218,532.52342438931,"MPA 2015",0.0125999399169244
"655","Atrina","MT",2033,23208.3440155126,6803.60025902893,90285.1176259184,276.3916917638,116.621187841434,507.617676567305,"MPA 2015",0.0123110930256417
"656","Atrina","MT",2034,23255.176149679,6693.69535933906,90344.3994309251,270.816196977244,112.988920031556,484.284903889861,"MPA 2015",0.0120371985234663
"657","Atrina","MT",2035,23295.6128395721,6594.68192312741,90398.3235907879,265.430350369026,109.58132524749,462.358124376815,"MPA 2015",0.0117765999373006
"658","Atrina","MT_20",2015,18122.2383031614,12241.9746950159,29367.6018923747,399.516716524792,263.391344984084,454.849971181069,"MPA 2015",0.0244256874366892
"659","Atrina","MT_20",2016,19820.4093704819,11988.6378947882,39515.626704631,407.304881027798,253.336349975973,547.933625543678,"MPA 2015",0.0225071732194263
"660","Atrina","MT_20",2017,21401.0673032986,11744.8074604488,51573.1150406116,413.143631034539,243.828672824956,650.950843546657,"MPA 2015",0.020913812760114
"661","Atrina","MT_20",2018,22826.5367085933,11509.9760093153,64789.8899011565,416.629888332304,234.827178567039,757.196471794838,"MPA 2015",0.0195802843284143
"662","Atrina","MT_20",2019,24074.6000878125,11283.6729586101,77891.4427136532,417.661210050629,226.294790174396,855.558218089504,"MPA 2015",0.0184548282951105
