,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
31,Atrina,MT_40,2009,426.7088,807.6852,13433.31658,10830.8553,14514.40516,0.738491051,0.595421812,0.79792345,0.369245525,0.297710906,0.398961725,0.031764963,0.029398986,0.039397516,0.141119648,0.081724848,0.243680538,0.225092417,0.20832667,0.279178109,0.225092417
32,Atrina,MT_40,2010,536.7796,554.0668,14259.6762,11425.28503,16175.44762,0.78391983,0.628100342,0.889238576,0.391959915,0.314050171,0.444619288,0.037643183,0.033184837,0.046981725,0.141119648,0.081724848,0.243680538,0.266746576,0.235153913,0.332921218,0.266746576
33,Atrina,MT_40,2011,903.1904,622.2262667,15475.37248,12350.04578,18206.79382,0.850752233,0.678938684,1.000910997,0.425376117,0.339469342,0.500455499,0.05836308,0.049607328,0.073132555,0.141119648,0.081724848,0.243680538,0.413571609,0.35152673,0.518230847,0.413571609
34,Atrina,MT_40,2012,790.1824,743.3841333,16706.02736,13215.30987,20173.45122,0.918406979,0.726506221,1.109027178,0.459203489,0.363253111,0.554513589,0.04729924,0.039169421,0.059792953,0.141119648,0.081724848,0.243680538,0.335171188,0.277561781,0.423703954,0.335171188
35,Atrina,MT_40,2013,1436.37788,1043.250227,17812.22653,14016.63317,22041.25818,0.979219823,0.77055864,1.211709097,0.489609911,0.38527932,0.605854549,0.080639996,0.06516769,0.102476669,0.141119648,0.081724848,0.243680538,0.57142997,0.461790338,0.726168684,0.57142997
36,Atrina,MT_40,2014,580.93,935.8300933,18560.15707,14437.89144,23764.53695,1.020336996,0.79371714,1.306445639,0.510168498,0.39685857,0.653222819,0.031299843,0.024445248,0.040236485,0.141119648,0.081724848,0.243680538,0.221796492,0.173223561,0.285123194,0.221796492
37,Atrina,MT_40,2015,533.7192,850.34236,19444.86539,14722.355,25391.4319,1.068973472,0.809355407,1.395883518,0.534486736,0.404677704,0.697941759,0.027447822,0.021019657,0.036252298,0.141119648,0.081724848,0.243680538,0.194500356,0.148949191,0.256890507,0.194500356
38,Atrina,MT_60,2000,6.832,6.832,8226.517453,7998.892475,11507.60481,0.404061681,0.39288143,0.565218779,0.202030841,0.196440715,0.282609389,0.000830485,0.000593694,0.000854118,0.114042085,0.066043759,0.196923936,0.007282268,0.005205923,0.0074895,0.005884971
39,Atrina,MT_60,2005,593.4688,300.1504,9762.923753,8946.093466,13385.68462,0.479525317,0.439405081,0.657464385,0.239762658,0.21970254,0.328732192,0.06078802,0.044336081,0.066338319,0.135340888,0.078378268,0.233701975,0.449147486,0.327588225,0.49015726,0.430755181
40,Atrina,MT_60,2006,737.3408,445.8805333,11425.28817,9843.945642,14833.62523,0.561175634,0.483504867,0.728582853,0.280587817,0.241752434,0.364291426,0.06453586,0.04970739,0.074902974,0.141119648,0.081724848,0.243680538,0.457313075,0.352235787,0.530776363,0.457313075
41,Atrina,MT_60,2007,1483.0112,937.9402667,12982.7672,10796.95687,16065.23274,0.637674298,0.530313899,0.789075692,0.318837149,0.265156949,0.394537846,0.114229207,0.09231184,0.137354554,0.141119648,0.081724848,0.243680538,0.809449346,0.654138822,0.973319848,0.809449346
42,Atrina,MT_60,2008,798.528,1006.293333,14015.69783,11513.43619,16114.74404,0.68840873,0.565505198,0.791507537,0.344204365,0.282752599,0.395753769,0.056973831,0.049552633,0.069356184,0.141119648,0.081724848,0.243680538,0.403727134,0.351139149,0.491470784,0.403727134
43,Atrina,MT_60,2009,487.6672,923.0688,15030.61879,12104.87547,16240.64083,0.738258581,0.594554909,0.797691207,0.36912929,0.297277454,0.398845604,0.032444918,0.030027584,0.040286842,0.141119648,0.081724848,0.243680538,0.229910709,0.212781027,0.285480031,0.229910709
44,Atrina,MT_60,2010,613.4624,633.2192,15976.16593,12745.58367,18047.70416,0.784701,0.62602456,0.886448698,0.3923505,0.31301228,0.443224349,0.0383986,0.03399116,0.04813137,0.141119648,0.081724848,0.243680538,0.272099599,0.240867664,0.341067813,0.272099599
45,Atrina,MT_60,2011,1032.2176,711.1157333,17263.24826,13752.87552,20292.98771,0.847918594,0.675499692,0.996730242,0.423959297,0.337749846,0.498365121,0.05979278,0.050865728,0.075054675,0.141119648,0.081724848,0.243680538,0.423702727,0.360443985,0.531851346,0.423702727
46,Atrina,MT_60,2012,903.0656,849.5818667,18554.63342,14856.72589,22607.60801,0.911347532,0.729717487,1.110417398,0.455673766,0.364858744,0.555208699,0.048670625,0.039945208,0.060784967,0.141119648,0.081724848,0.243680538,0.344889074,0.283059151,0.430733553,0.344889074
47,Atrina,MT_60,2013,1641.57472,1192.285973,19716.0088,15751.18155,24763.3076,0.968390781,0.773650446,1.216298849,0.484195391,0.386825223,0.608149424,0.083261006,0.066290608,0.104219148,0.141119648,0.081724848,0.243680538,0.590002929,0.469747544,0.738516212,0.590002929
48,Atrina,MT_60,2014,663.92,1069.520107,20603.12012,16201.05822,26564.71471,1.011963009,0.795747029,1.304778523,0.505981504,0.397873515,0.652389261,0.032224245,0.024992551,0.040980039,0.141119648,0.081724848,0.243680538,0.22834698,0.177101855,0.290392158,0.22834698
49,Atrina,MT_60,2015,609.9648,971.81984,21638.04951,16494.40382,28295.12114,1.062795614,0.810155279,1.389770858,0.531397807,0.405077639,0.694885429,0.028189454,0.021557243,0.036980106,0.141119648,0.081724848,0.243680538,0.199755699,0.152758622,0.262047889,0.199755699
50,Callinectes,MT,2005,1957.488,1957.488,3090.182656,1824.678392,3886.270792,0.966337771,0.570599167,1.215284232,0.483168886,0.285299584,0.607642116,0.633453817,0.503693156,1.072785214,0.595623108,0.478716277,0.741079642,1.063514509,0.845657512,1.80111416,1.063514509
51,Callinectes,MT,2006,1816.3144,1886.9012,2975.435115,1856.573538,3844.94911,0.930454817,0.580573168,1.202362438,0.465227408,0.290286584,0.601181219,0.610436568,0.472389711,0.978315355,0.595623108,0.478716277,0.741079642,1.024870525,0.793101719,1.642507387,1.024870525
