"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"4729","Scomberomorus","MT_40",2025,10821.6261734046,5181.24067181087,0,5199.48265055738,673.004899731488,0,"No MPA",0.459568162658207
"4730","Scomberomorus","MT_40",2026,10309.6979103339,5975.03585261334,0,5084.76712018596,791.267434137124,0,"No MPA",0.469870889892906
"4731","Scomberomorus","MT_40",2027,9798.06975409899,6785.22614724654,0,4937.86756896022,924.741952051428,0,"No MPA",0.478953662067128
"4732","Scomberomorus","MT_40",2028,9301.82477793432,7575.40776213002,0,4769.0527345144,1072.24237432389,0,"No MPA",0.486733903126101
"4733","Scomberomorus","MT_40",2029,8831.6995797654,8306.16149671946,0,4587.50722177307,1231.22518342878,0,"No MPA",0.49318357755518
"4734","Scomberomorus","MT_40",2030,8394.82092265041,8940.66564438025,0,4401.01396494935,1397.75627403765,0,"No MPA",0.498320161957576
"4735","Scomberomorus","MT_40",2031,7995.45779594515,9450.21848775857,0,4215.85437046776,1566.75174500259,0,"No MPA",0.502197058080512
"4736","Scomberomorus","MT_40",2032,7635.71003417411,9817.9857020813,0,4036.86151480916,1732.48096639012,0,"No MPA",0.504894356000032
"4737","Scomberomorus","MT_40",2033,7316.09681362288,10039.9773028215,0,3867.56754876858,1889.21320747385,0,"No MPA",0.506510531628236
"4738","Scomberomorus","MT_40",2034,7036.03477302562,10123.3985017111,0,3710.39789529738,2031.83093882099,0,"No MPA",0.507155384875233
"4739","Scomberomorus","MT_40",2035,6794.21060102697,10083.4089053448,0,3566.87780993888,2156.26324636502,0,"No MPA",0.506944312386486
"4740","Scomberomorus","MT_60",2015,10941.8406547867,961.78497593975,0,3771.97904288185,156.065305290302,87681.0067231999,"No MPA",0.369995206130463
"4741","Scomberomorus","MT_60",2016,11585.4104937312,1156.7476107008,0,4108.76176157152,180.538472747348,0,"No MPA",0.375509193672463
