"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Revenue_hi","Status"
"3518","Cephalopholis","MT_60",2025,12.1071168420032,12.1071168420032,72.4117244954836,96.3889866023005,114.480427457973,118700.564433655,0.696162032641718,72871.8497085897,118700.564433655,12.5479482127883,12.5479482127883,51.1203629512351,69.8985888095565,124.720836799924,68859.7029618395,0.487101361602799,42273.8842831531,2025,12.9001766805528,12.9001766805528,110.035630276101,145.708324438033,111.854473658098,215001.083525764,0.987671129264704,131992.01470209,215001.083525764,"No MPA"
"3519","Cephalopholis","MT_60",2026,10.0104798492075,10.0104798492075,60.715205411971,80.6882242541462,94.5074086157982,99621.1588460445,0.704821130090271,58246.4283320723,99621.1588460445,10.9059290857406,10.9059290857406,45.2671179324589,61.5483090419186,108.439645690464,60751.6894254832,0.49348858315194,35520.2545840916,2026,9.78085930897799,9.78085930897799,84.4831891515643,111.86291695337,84.4747458562926,165713.151466804,1.00007548464532,96889.0475918843,165713.151466804,"No MPA"
"3520","Cephalopholis","MT_60",2027,8.26398477500943,8.26398477500943,50.7023386649763,67.2947958233154,77.9149514574591,83263.5231781124,0.712058417524594,46364.2452748675,83263.5231781124,9.48225746657079,9.48225746657079,39.9883716444331,54.1238353772887,94.3041819576082,53513.7271092854,0.499114830490897,29798.4456405929,2027,7.38670146450821,7.38670146450821,64.4147254682576,85.2824222343971,63.6070490901531,126721.683603783,1.00956115783383,70563.3751250442,126721.683603783,"No MPA"
"3521","Cephalopholis","MT_60",2028,6.81309520619324,6.81309520619324,42.1978185292086,55.9496621306085,64.1631078560593,69349.9962953798,0.718086337526071,36777.783702612,69349.9962953798,8.24621408344401,8.24621408344401,35.2517838982276,47.5352923649815,82.0206734908543,47068.6157923543,0.504063461219033,24961.4919000058,2028,5.56197332000946,5.56197332000946,48.8532603994607,64.6738246700445,47.7864848195694,96322.8091887721,1.01677134209417,51082.0422669386,96322.8091887721,"No MPA"
"3522","Cephalopholis","MT_60",2029,5.61059661042409,5.61059661042409,35.0210635418486,46.395853314785,52.788318083123,57593.3139058099,0.723092363587926,29088.5371606357,57593.3139058099,7.17211070425152,7.17211070425152,31.01987371873,41.7001458867567,71.3404013228276,41343.6245713162,0.508410186261229,20881.3398316499,2029,4.17858016407537,4.17858016407537,36.9021307483365,48.8486288551962,35.8399867127097,72881.8924559341,1.02222687104183,36810.3082331581,72881.8924559341,"No MPA"
"3523","Cephalopholis","MT_60",2030,4.61595406462514,4.61595406462514,28.9970281751441,38.3897572722057,43.3955889860615,47713.5371156958,0.727239636840775,22951.0271630478,47713.5371156958,6.23819866621924,6.23819866621924,27.252727541623,36.5422306045551,62.0508982598955,36270.1867244896,0.512223507675479,17446.5799654316,2030,3.13394588708321,3.13394588708321,27.7898611121027,36.7840293731473,26.8458184516652,54954.8962132709,1.02634048578212,26434.244702398,54954.8962132709,"No MPA"
"3524","Cephalopholis","MT_60",2031,3.79462829354767,3.79462829354767,23.9627548791467,31.7077912904054,35.6505525748028,39448.7404683936,0.730668531785335,18071.9225366195,39448.7404683936,5.42589926023763,5.42589926023763,23.9098879375418,31.9912812593881,53.9695049380492,31783.9287610979,0.515565159514614,14560.5839796128,2031,2.34747135919397,2.34747135919397,20.8797190445178,27.6360029524857,20.0895345436972,41329.425526351,1.02943417434798,18933.4860309069,41329.425526351,"No MPA"
"3525","Cephalopholis","MT_60",2032,3.1173812509932,3.1173812509932,19.7708261395382,26.1496352389652,29.2717434753758,32560.9211339588,0.733498735653465,14206.2220363046,32560.9211339588,4.71924025486695,4.71924025486695,20.9516579412747,27.9826789427017,46.9384839366222,27824.7964223101,0.518490561935348,12139.8665125003,2032,1.75668352394531,1.75668352394531,15.6607977412208,20.7275028867077,15.0228293982103,31021.2801090392,1.03175625306912,13534.4817570224,31021.2801090392,"No MPA"
"3526","Cephalopholis","MT_60",2033,2.55960083935737,2.55960083935737,16.2906764883171,21.5390721892624,24.0233477744305,26838.4835369508,0.735831543733694,11151.944254924,26838.4835369508,4.10442866115607,4.10442866115607,18.3399773741343,24.4572635634479,40.8211977473087,24337.1609126926,0.521049286476122,10112.5930400573,2033,1.31363704965264,1.31363704965264,11.7311658279081,15.5260431954825,11.2279520306359,23249.8472555912,1.03349660599435,9660.79175721221,23249.8472555912,"No MPA"
"3527","Cephalopholis","MT_60",2034,2.1006668488788,2.1006668488788,13.408509592312,17.7232769636356,19.7085804031069,22096.4213481382,0.737752170515535,8744.30425600592,22096.4213481382,3.56951652386134,3.56951652386134,16.0389822736606,21.3611419037677,35.4990381172016,21269.8559593359,0.523285525231214,8417.20426396216,2034,0.981802654360378,0.981802654360378,8.77904887137157,11.6186794504808,8.38832145152668,17406.0754738944,1.03479952700001,6888.17512341469,17406.0754738944,"No MPA"
"3528","Cephalopholis","MT_60",2035,1.72337185807778,1.72337185807778,11.0263696697276,14.5711832113083,16.1637668615262,18175.059962715,0.739331951529663,6849.98895053345,18175.059962715,3.10413241485275,3.10413241485275,14.0153299246139,18.6454634949749,30.8689045468405,18576.1328063627,0.525238555293136,7001.14908717022,2035,0.73349763556752,0.73349763556752,6.56505949575208,8.68840657998166,6.2649743672971,13020.3466055457,1.03577415698588,4907.23169899135,13020.3466055457,"No MPA"
