"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Revenue_hi","Status"
"2570","Epinephelus","MT_40",2022,5136.71383986476,5136.71383986476,558.352428597093,1328.2931848109,19749.9795812525,2716287.55833917,0.064731887988163,1930414.85497638,2981862.68630466,791.71508806988,791.71508806988,68.8845300333982,1606.87349844825,1624.71992361714,3283116.45725808,0.508068732628711,2333249.57081626,2022,9650.62293952281,9650.62293952281,2982.00270981481,1389.83330815501,40144.0568728036,2301972.97859781,0.0360509795842113,1635969.21835349,3395145.43262651,"MPA 2025"
"2571","Epinephelus","MT_40",2023,4943.97598936258,4943.97598936258,563.211654628514,1417.75735487098,18895.4338810101,2900377.56421943,0.0717852567410639,1963089.7002086,3196133.66505536,406.713144120259,406.713144120259,49.5418653374552,871.67866979794,802.583119156655,1721900.75334054,0.536510112990618,1165450.20736773,2023,10049.1877714721,10049.1877714721,3072.65325326289,1483.15673803449,41733.553388032,2499331.50530347,0.0369458608215375,1691645.9415478,3618081.43687214,"MPA 2025"
"2572","Epinephelus","MT_40",2024,4730.0591391486,4730.0591391486,566.248663078526,1497.16512936348,17964.5174147251,3063051.41273912,0.0792342286920511,1974470.25148516,3391033.93095526,200.909153057797,200.909153057797,28.2106028397838,440.080126235966,390.713595760472,715579.941433676,0.548329656744335,461269.210514756,2024,10447.0835046871,10447.0835046871,3160.57976865728,1582.34944629461,43311.7837103946,2708184.85602849,0.0379155216327298,1745720.10496197,3854705.13765608,"MPA 2025"
"2573","Epinephelus","MT_40",2025,4497.02453582254,4497.02453582254,566.735996882591,1495.02640101538,17036.2270105923,3057381.1655186,0.0832210722114885,1876966.81863776,3403642.33460497,97.8066143415621,97.8066143415621,14.6450775872206,205.94521928106,199.413454066633,159486.955808615,0.527100212318476,97911.1559377782,2025,10842.1589926057,10842.1589926057,3245.34063959817,1614.16266356824,44942.9616864246,2801394.50828254,0.0372684411789961,1719813.21703095,3926798.640483,"MPA 2025"
"2574","Epinephelus","MT_40",2026,4264.64730979519,4247.61866156068,564.120017746391,1542.09747050961,16041.2209095946,3150047.77850241,0.0908816088413163,1841767.6957231,3530279.84942788,49.9188024375044,47.5730454044949,7.67975981917003,99.8446448246294,104.902812028164,-104146.109515125,0.525379985930175,-60892.0732724217,2026,11250.4887690843,11232.1031351098,3330.22254004626,1720.79900984768,46533.9995826487,3024011.51540773,0.0383511831685459,1768076.90301779,4180542.25325578,"MPA 2025"
"2575","Epinephelus","MT_40",2027,4015.56926632867,3985.20816381728,557.876854959391,1570.78980640288,14997.9468556397,3201840.82130169,0.0986680999103885,1782904.77634915,3617073.42309941,26.2601275991277,23.2791233748359,4.084249048165,48.5021663474536,57.5038905045836,-231274.307764428,0.521559928042225,-128782.188426347,2027,11648.7703533632,11614.4591590652,3410.31763847952,1833.5055389257,48076.5004879044,3258312.48902805,0.0395178162084566,1814350.31400608,4448443.35482508,"MPA 2025"
"2576","Epinephelus","MT_40",2028,3754.40839515623,3713.65673417099,547.676078372849,1579.51346220955,13925.3578108178,3208582.50663356,0.106470985945843,1701579.80857477,3659391.11755685,14.3948429303422,11.4970454915302,2.24727084519004,23.7334224676354,33.1199414433263,-290962.74436009,0.516753970400685,-154303.755576504,2028,12034.9017621467,11986.6430629938,3485.45097407502,1952.3403707753,49561.3523920512,3504315.65366313,0.0407725302475816,1858413.41053808,4730649.99156047,"MPA 2025"
"2577","Epinephelus","MT_40",2029,3485.90915634756,3437.15058142281,533.362328274888,1567.7017450073,12842.2598191606,3168311.23038988,0.114175937089992,1600212.46758573,3654770.75805354,8.29085390145579,5.73897092952682,1.29558391907627,11.7265755074378,20.1370668830358,-317997.716550468,0.51150146441677,-160610.455755394,2029,12406.6020027297,12345.9663256523,3555.44763319123,2077.29548518397,50978.8688629811,3761892.87968588,0.0421194693581872,1900011.53613136,5027164.05817947,"MPA 2025"
"2578","Epinephelus","MT_40",2030,3214.77923224562,3159.98795495286,515.004424060768,1535.88566704136,11766.5872988872,3081553.19127515,0.121669903136993,1482279.77368014,3603216.17705426,5.04087484021609,2.89698084974784,0.787936235826678,5.85652663436192,12.9245824940323,-329283.217673203,0.506062550923952,-158390.857815221,2030,12761.4462884147,12689.6628806167,3620.14402597017,2208.28370372392,52318.9457774292,4030742.11876029,0.0435626694646658,1938855.87711912,5337812.10702817,"MPA 2025"
"2579","Epinephelus","MT_40",2031,2945.50811271005,2886.35499197747,492.904504070005,1485.64442645933,10714.6942557653,2951319.17991236,0.128847155761009,1352033.32139206,3507221.64559452,3.23538691572557,1.47902952159937,0.505981791308823,2.95750831022546,8.71669858098949,-332948.186942501,0.500563101546706,-152527.400664506,2031,13096.9052726468,13014.9202490599,3679.39586475383,2345.12494730923,53571.231671287,4310358.29633528,0.0451059856503574,1974624.79946241,5662214.30814494,"MPA 2025"
"2580","Epinephelus","MT_40",2032,2682.18966586422,2620.11309573782,467.57299783838,1419.4395862378,9700.75109723951,2782820.75471323,0.135614640518291,1214135.47749613,3371515.65572775,2.18203509090361,0.763657647854595,0.341592434299728,1.51025629096753,6.12965728127267,-332906.187922934,0.495064345885452,-145245.867075934,2032,13410.3876924933,13318.9146022848,3733.08298576506,2487.53211940481,54725.3094474386,4600003.38470294,0.0467530087490831,2006966.23974462,5999752.26647188,"MPA 2025"
"2581","Epinephelus","MT_40",2033,2428.37114368769,2364.62118561607,439.678202821767,1340.36243907896,8736.3169029107,2582953.60747128,0.14189607245663,1073270.57446879,3202568.73909373,1.53442581026262,0.398696958802555,0.240548568895789,0.779778489550677,4.45469850915772,-331053.588613837,0.4895961904092,-137559.603937052,2033,13699.285855232,13598.8493959992,3781.11121125155,2635.09708611476,55770.8871133426,4898676.63778049,0.0485069712792941,2035501.32451459,6349536.66826835,"MPA 2025"
