,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
26,Lutjanus,MT,0.282239296,0.163449697,0.487361077,1240.837593,402.2709952,3827.464445,87.55328219,28.08181813,272.9729673,620.4187963,201.1354976,1913.732222,2015,40.62644,25.28468,518.5641493,260.9137213,734.5180826,0.835829205,0.420544514,1.183906882,0.417914603,0.210272257,0.591953441,0.078344097,0.055310333,0.155708331,0.141119648,0.081724848,0.243680538,0.555160802,0.391939281,1.103378111,0.555160802,0.122491106
27,Lutjanus,MT_20,0.282239296,0.163449697,0.487361077,1469.219105,475.0846858,4543.62105,103.6678415,33.08285588,324.8516816,734.6095525,237.5423429,2271.810525,2015,48.751728,30.341616,603.4027501,310.9712913,869.509168,0.821392463,0.423315066,1.183634442,0.410696232,0.211657533,0.591817221,0.080794673,0.056068101,0.15677244,0.141119648,0.081724848,0.243680538,0.572526039,0.397308964,1.110918584,0.572526039,0.122491106
28,Lutjanus,MT_40,0.282239296,0.163449697,0.487361077,1700.961905,565.9828802,5111.941551,120.0195727,40.51002678,355.5835179,850.4809525,282.9914401,2555.970775,2015,56.877016,35.398552,701.2959919,358.8931167,1005.936369,0.824587535,0.421988424,1.182785301,0.412293767,0.210994212,0.59139265,0.081102725,0.056541366,0.158478983,0.141119648,0.081724848,0.243680538,0.574708952,0.400662603,1.123011464,0.574708952,0.122491106
29,Lutjanus,MT_60,0.282239296,0.163449697,0.487361077,1927.033385,631.1378145,5883.750874,135.9711366,44.492278,415.5361517,963.5166926,315.5689072,2941.875437,2015,65.002304,40.455488,798.3202201,404.7109076,1138.936238,0.828548406,0.42003518,1.18206176,0.414274203,0.21001759,0.59103088,0.081423848,0.057072821,0.160614164,0.141119648,0.081724848,0.243680538,0.576984487,0.404428595,1.138141754,0.576984487,0.122491106
30,Micropogonias,MT,0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,2015,137.7817,111.0560333,423.0465276,223.2301066,605.1753686,0.822809917,0.434174336,1.177043805,0.411404958,0.217087168,0.588521903,0.325689235,0.227672353,0.617218269,0.282762719,0.203742736,0.392429969,1.151811087,0.80517104,2.182813457,1.151811087,1
31,Micropogonias,MT_20,0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,2015,165.33804,133.26724,513.421977,273.5374602,735.1614422,0.821895622,0.437883945,1.176860356,0.410947811,0.218941973,0.588430178,0.322031482,0.224900315,0.604443866,0.282762719,0.203742736,0.392429969,1.138875317,0.795367634,2.137636346,1.138875317,1
32,Micropogonias,MT_40,0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,2015,192.89438,155.4784467,595.5065861,309.7713726,840.8920779,0.832641867,0.433124704,1.17574174,0.416320933,0.216562352,0.58787087,0.323916451,0.229392552,0.622699181,0.282762719,0.203742736,0.392429969,1.145541576,0.811254584,2.202196889,1.145541576,1
33,Micropogonias,MT_60,0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,2015,220.45072,177.6896533,678.7767649,356.4076579,970.379623,0.821193181,0.431186737,1.173978206,0.41059659,0.215593368,0.586989103,0.324776468,0.227179873,0.618535307,0.282762719,0.203742736,0.392429969,1.148583054,0.80342937,2.187471206,1.148583054,1
34,Mugil,MT,0.565525439,0.407485471,0.784859938,2812.149899,1426.383789,5544.221069,397.5855763,199.8043739,791.1452957,1406.074949,713.1918943,2772.110534,2015,227.074,220.2056667,741.7735637,59.08993447,1113.450727,0.527549093,0.04202474,0.791885758,0.263774546,0.02101237,0.395942879,0.306123069,0.203937179,3.842854152,0.282762719,0.203742736,0.392429969,1.082614674,0.721230788,13.59038476,1.082614674,0.534863273
35,Mugil,MT_20,0.565525439,0.407485471,0.784859938,3405.630433,1729.753344,6705.186429,481.4926611,242.6151738,955.5675316,1702.815216,864.8766718,3352.593214,2015,272.4888,264.2468,903.8074537,75.00506295,1344.604043,0.530772479,0.044047682,0.78963591,0.265386239,0.022023841,0.394817955,0.301489879,0.202653563,3.632938755,0.282762719,0.203742736,0.392429969,1.066229239,0.716691236,12.8480118,1.066229239,0.534863273
36,Mugil,MT_40,0.565525439,0.407485471,0.784859938,3993.37497,2000.593984,7971.154456,564.588783,276.9259519,1151.067611,1996.687485,1000.296992,3985.577228,2015,317.9036,308.2879333,1063.073479,89.23943931,1576.15838,0.532418562,0.044693744,0.789386617,0.266209281,0.022346872,0.394693309,0.299041982,0.201695213,3.562366622,0.282762719,0.203742736,0.392429969,1.057572167,0.713301999,12.59843105,1.057572167,0.534863273
37,Mugil,MT_60,0.565525439,0.407485471,0.784859938,4513.869064,2279.740483,8937.426906,638.1769457,318.0291977,1280.605105,2256.934532,1139.870241,4468.713453,2015,363.3184,352.3290667,1223.644423,101.7205727,1781.943873,0.542170987,0.045070236,0.789541676,0.271085494,0.022535118,0.394770838,0.296915013,0.203888801,3.571729792,0.282762719,0.203742736,0.392429969,1.05005007,0.721059699,12.63154422,1.05005007,0.534863273
38,Octopus,MT,0.565525439,0.407485471,0.784859938,4826.443309,2907.033384,8013.170794,682.3691174,480.2401908,969.5723541,2413.221654,1453.516692,4006.585397,2015,485.18524,575.75016,2253.313796,1032.462778,2876.215408,0.933736771,0.427835867,1.191857119,0.466868386,0.213917933,0.595928559,0.21532076,0.16868877,0.469930006,0.282762719,0.203742736,0.392429969,0.761489212,0.596573589,1.661923493,0.761489212,0.110782429
39,Octopus,MT_20,0.565525439,0.407485471,0.784859938,5808.195571,3517.203789,9591.464643,821.1705871,584.0448082,1154.570888,2904.097785,1758.601895,4795.732321,2015,582.222288,690.900192,2734.552906,1241.607121,3462.497451,0.941618743,0.427536265,1.192279912,0.470809371,0.213768133,0.596139956,0.212913155,0.168150965,0.468926344,0.282762719,0.203742736,0.392429969,0.752974635,0.594671622,1.658374007,0.752974635,0.110782429
40,Octopus,MT_40,0.565525439,0.407485471,0.784859938,6864.308952,4131.557841,11404.59343,970.4853328,682.0697011,1380.858554,3432.154476,2065.77892,5702.296713,2015,679.259336,806.050224,3340.290734,1478.532782,4094.512825,0.97323438,0.43078853,1.192986171,0.48661719,0.215394265,0.596493085,0.203353358,0.165895032,0.459414458,0.282762719,0.203742736,0.392429969,0.719166084,0.586693438,1.624734897,0.719166084,0.110782429
41,Octopus,MT_60,0.565525439,0.407485471,0.784859938,7666.386094,4609.175447,12751.4078,1083.88409,760.1041021,1545.583976,3833.193047,2304.587724,6375.703899,2015,776.296384,921.200256,3607.178492,1632.606117,4571.588091,0.941037523,0.425912835,1.192631844,0.470518762,0.212956417,0.596315922,0.215208753,0.169808909,0.475495207,0.282762719,0.203742736,0.392429969,0.761093093,0.600534996,1.681605016,0.761093093,0.110782429
42,Panulirus,MT,0.282239296,0.163449697,0.487361077,385.8267414,131.7400215,1129.970017,27.22386698,9.665960032,76.67514982,192.9133707,65.87001077,564.9850087,2015,14.42,16.60953333,144.2818838,81.0114497,219.5957101,0.747910232,0.419936935,1.138312545,0.373955116,0.209968468,0.569156273,0.099943247,0.065666128,0.17799953,0.141119648,0.081724848,0.243680538,0.708216387,0.465322362,1.261337686,0.708216387,0.062245553
43,Panulirus,MT_20,0.282239296,0.163449697,0.487361077,471.8161986,160.6547238,1385.645687,33.29126795,11.7561252,94.27498453,235.9080993,80.32736192,692.8228437,2015,17.304,19.93144,177.8366672,99.12853416,270.6941943,0.753838752,0.420199792,1.147456129,0.376919376,0.210099896,0.573728064,0.097302768,0.063924533,0.174561242,0.141119648,0.081724848,0.243680538,0.689505462,0.452981098,1.236973334,0.689505462,0.062245553
