"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"1478","Panulirus","MT_40",2017,259.698910055709,123.291487886051,704.198062673779,9.69045597089372,2.67273386923848,38.1413928386943,"MPA"
"1479","Panulirus","MT_40",2018,287.600710798608,127.349288821923,851.377460749747,10.8553239754456,2.76861397862697,47.6256107627619,"MPA"
"1480","Panulirus","MT_40",2019,314.393706413256,131.088355404589,991.804793305797,12.0068564359073,2.85769849567762,57.4906552075962,"MPA"
"1481","Panulirus","MT_40",2020,339.367016555409,134.507825830226,1113.65938302568,13.112616628205,2.93981419820035,66.9133268567366,"MPA"
"1482","Panulirus","MT_40",2021,361.978383858975,137.613278872561,1209.82235065069,14.1439331339397,3.01495095257817,75.1145464252175,"MPA"
"1483","Panulirus","MT_40",2022,381.897653946955,140.415568667841,1279.45703751322,15.0788827053228,3.0832361430802,81.6167765390156,"MPA"
"1484","Panulirus","MT_40",2023,399.010335708503,142.929613692231,1326.45550221546,15.9039890113618,3.14490862080461,86.3510920813805,"MPA"
"1485","Panulirus","MT_40",2024,413.387276899321,145.173229503538,1356.55666993639,16.6143859945036,3.20029278364285,89.5638757150102,"MPA"
"1486","Panulirus","MT_40",2025,425.234584627011,147.16606984195,1375.15246726953,17.2126643164745,3.24977401731705,91.6316478831179,"MPA"
"1487","Panulirus","MT_40",2026,434.839109388543,148.928715323531,1386.37492940405,17.7069272718726,3.29377654899611,92.9143814687785,"MPA"
"1488","Panulirus","MT_40",2027,442.520783370752,150.481926777082,1393.04997337906,18.1086406045954,3.33274439214616,93.6911889239182,"MPA"
"1489","Panulirus","MT_40",2028,448.597309016415,151.846063059875,1396.98566757723,18.4307215691483,3.36712568287174,94.1545683255812,"MPA"
"1490","Panulirus","MT_40",2029,453.361864220171,153.040651348906,1399.29428472841,18.6860973088449,3.39736039513567,94.4284528535818,"MPA"
"1491","Panulirus","MT_40",2030,457.071693883786,154.084090940192,1400.64446320729,18.8867743697284,3.42387119791615,94.5894470006081,"MPA"
"1492","Panulirus","MT_40",2031,459.944491984554,154.993468532485,1401.43278002172,19.0433460312985,3.44705707996373,94.6837751736901,"MPA"
"1493","Panulirus","MT_40",2032,462.159648760383,155.78446273033,1401.89262369799,19.1648197094905,3.46728930346736,94.7389379775705,"MPA"
"1494","Panulirus","MT_40",2033,463.86209316094,156.471317068328,1402.16073230722,19.2586487596316,3.48490923823841,94.7711613815776,"MPA"
"1495","Panulirus","MT_40",2034,465.167187591969,157.066863418306,1402.31701551531,19.3308765699095,3.50022765484106,94.7899727715255,"MPA"
"1496","Panulirus","MT_40",2035,466.165738592619,157.582580596029,1402.40810687744,19.3863289670872,3.51352510304792,94.8009505545587,"MPA"
"1497","Panulirus","MT_60",2016,281.174910560548,132.249289749817,625.658039790691,9.71180668429527,2.9342853017585,33.8712549311716,"MPA"
"1498","Panulirus","MT_60",2017,313.242000155205,137.011803920069,782.237649443126,10.9450778462105,3.04868101561909,43.5010807310753,"MPA"
"1499","Panulirus","MT_60",2018,344.355152925626,141.432203037372,945.229376982462,12.1770834369326,3.15578452752309,54.2712913436036,"MPA"
"1500","Panulirus","MT_60",2019,373.634372844779,145.502553235569,1100.87991417488,13.3719229943047,3.25521588476774,65.4750493306078,"MPA"
"1501","Panulirus","MT_60",2020,400.370326783613,149.222895489912,1236.1769722871,14.4964958599725,3.34680717732173,76.1860041580344,"MPA"
"1502","Panulirus","MT_60",2021,424.09187555605,152.60012151389,1343.2198295374,15.5241554418202,3.43056930929694,85.5253025580933,"MPA"
"1503","Panulirus","MT_60",2022,444.586437892334,155.64669905725,1420.98094689548,16.4371437990865,3.50666279831873,92.9496074554118,"MPA"
"1504","Panulirus","MT_60",2023,461.875518532646,158.379360816094,1473.65304281098,17.2273277688488,3.57536857614766,98.3733703853598,"MPA"
"1505","Panulirus","MT_60",2024,476.160217716602,160.817850206477,1507.51452035902,17.8953179355598,3.63705928347613,102.067781857268,"MPA"
"1506","Panulirus","MT_60",2025,487.755834675348,162.983790291154,1528.51141185021,18.4484898996182,3.69217229808888,104.454728956324,"MPA"
"1507","Panulirus","MT_60",2026,497.031358651559,164.89971521068,1541.22895789945,18.8985854112295,3.74118556415908,105.941122135123,"MPA"
"1508","Panulirus","MT_60",2027,504.362708132684,166.588280194228,1548.81987392563,19.259465222826,3.78459689950192,106.844594910514,"MPA"
"1509","Panulirus","MT_60",2028,510.102002632367,168.071648363793,1553.31086542408,19.5453469445706,3.82290705973225,107.385454837165,"MPA"
"1510","Panulirus","MT_60",2029,514.560933993291,169.371040415875,1555.95400307639,19.7696260369569,3.8566065109559,107.706238234395,"MPA"
"1511","Panulirus","MT_60",2030,518.004562655204,170.5064262634,1557.50489670633,19.9442207532764,3.88616562997192,107.895434437878,"MPA"
"1512","Panulirus","MT_60",2031,520.651801776307,171.496334787955,1558.41334137089,20.0793119941098,3.91202791060155,108.006652245506,"MPA"
"1513","Panulirus","MT_60",2032,522.679584023612,172.357757822241,1558.94496519145,20.1833415830538,3.93460569144217,108.071903847949,"MPA"
"1514","Panulirus","MT_60",2033,524.22862323464,173.106126296281,1559.25591848167,20.2631564320495,3.95427791430585,108.110143678603,"MPA"
"1515","Panulirus","MT_60",2034,525.409482772354,173.755339289065,1559.43775587765,20.3242188047629,3.97138945454127,108.132539001138,"MPA"
"1516","Panulirus","MT_60",2035,526.30824912315,174.317829912348,1559.54408018915,20.3708324606167,3.9862516180862,108.145650071674,"MPA"
"1517","Scomberomorus","MT",2016,10987.9396882091,5706.07560146353,11968.0005125091,4171.32817004133,1434.96140949394,10017.6001654654,"MPA"
"1518","Scomberomorus","MT",2017,10795.9034077127,5683.92433893177,10875.6634972365,3982.64612182251,1407.07355258509,8118.70350096495,"MPA"
"1519","Scomberomorus","MT",2018,10645.0372725703,5668.83393250711,10055.8417398118,3845.76387522739,1385.17882306074,6881.76658161348,"MPA"
"1520","Scomberomorus","MT",2019,10511.7618044612,5655.32381424907,9348.04993413865,3743.48325568449,1367.75866053077,6005.31636457516,"MPA"
"1521","Scomberomorus","MT",2020,10391.5890872888,5640.9209447542,8737.3633850583,3665.03357967636,1353.72390939745,5344.59138477335,"MPA"
"1522","Scomberomorus","MT",2021,10285.6744114305,5625.2012648116,8220.94439173889,3603.48308414121,1342.26476825865,4822.66972509287,"MPA"
"1523","Scomberomorus","MT",2022,10194.6800468168,5608.71411087052,7785.46195645726,3554.34647777021,1332.78105160676,4397.39675815422,"MPA"
"1524","Scomberomorus","MT",2023,10117.8763468974,5592.23537805524,7415.74348213257,3514.66215206483,1324.8354235355,4043.78192704703,"MPA"
"1525","Scomberomorus","MT",2024,10053.7275114998,5576.41442533803,7098.81622066047,3482.37931965064,1318.11292357153,3745.18692130979,"MPA"
"1526","Scomberomorus","MT",2025,10000.4538078876,5561.67806911671,6824.45945898464,3455.99730833749,1312.38546649019,3489.78005805127,"MPA"
"1527","Scomberomorus","MT",2026,9956.33756159701,5548.25080359225,6584.77808257682,3434.37038125926,1307.48377378403,3268.8796683363,"MPA"
